"DAT","Trait","Intercept","Gvar","Expvar","GxEvar","Repvar","evar","H2","WL"
14,"VNIR_Plant_Spectrum_X716.86",0.0798135188483717,1.37601686802776e-05,0.000227877443855986,5.84339214209669e-17,1.79393643030477e-05,0.000131309651018898,0.0352024543680909,716.86
14,"VNIR_Plant_Spectrum_X718",0.0819724405653067,1.40268176955591e-05,0.000241124884376359,5.47334287031176e-18,1.82861084058814e-05,0.000139121241860307,0.0339995392564153,718
14,"VNIR_Plant_Spectrum_X719.14",0.084108073961418,1.39625292238145e-05,0.000257162903439706,0,1.91372080375324e-05,0.000145994072133,0.0320053051633517,719.14
14,"VNIR_Plant_Spectrum_X720.28",0.0861199469005338,1.39621042940036e-05,0.000265449919378564,0,2.18503852643473e-05,0.000151345811467339,0.0308481014364547,720.28
14,"VNIR_Plant_Spectrum_X721.42",0.0881402926461151,1.50318977090554e-05,0.000281156583656594,0,2.09754406853715e-05,0.000160057756791125,0.0314987737889997,721.42
14,"VNIR_Plant_Spectrum_X722.56",0.0898343511269373,1.5146704315104e-05,0.000294196179780091,2.12852187946276e-16,2.21140597745826e-05,0.000166722288739187,0.0304041263136847,722.56
14,"VNIR_Plant_Spectrum_X723.7",0.0917552299721179,1.55524466724556e-05,0.000312922278172744,0,2.19176986238772e-05,0.000174178893390771,0.0296479166370638,723.7
14,"VNIR_Plant_Spectrum_X724.84",0.0933230168702095,1.63098518327314e-05,0.000316724597890083,2.49339872612886e-20,2.35078285110126e-05,0.000181337309649104,0.0303224963358922,724.84
14,"VNIR_Plant_Spectrum_X725.98",0.0950477093547636,1.79476680183819e-05,0.000330221649831091,0,2.3242275430403e-05,0.000188589992368821,0.0320493164275447,725.98
14,"VNIR_Plant_Spectrum_X727.13",0.0965793659625348,1.79690142126047e-05,0.000340253224971902,0,2.25157795090521e-05,0.000198172731146279,0.0310393514329731,727.13
14,"VNIR_Plant_Spectrum_X728.27",0.0982091811135212,1.74195114193092e-05,0.000351502028616493,0,2.64893772014493e-05,0.000200883900724235,0.029212917661871,728.27
14,"VNIR_Plant_Spectrum_X729.41",0.0994316992184299,1.74877668867697e-05,0.000362758391006237,1.51926314941428e-17,2.70316452260407e-05,0.000210063359272483,0.0283275568715085,729.41
14,"VNIR_Plant_Spectrum_X730.55",0.100797177915232,1.8491370087388e-05,0.000370788761001394,6.13202214422139e-17,2.55140167434372e-05,0.000212485702109858,0.0294786610618748,730.55
14,"VNIR_Plant_Spectrum_X731.69",0.102059423858703,1.88349056512616e-05,0.000376800737094199,2.01964203120247e-07,2.64315931156797e-05,0.000217117362075555,0.0294577752591912,731.69
14,"VNIR_Plant_Spectrum_X732.83",0.103234105289195,2.04136803789945e-05,0.000385022389916584,0,2.84274365331046e-05,0.000222426808600518,0.031104649724481,732.83
14,"VNIR_Plant_Spectrum_X733.97",0.104443808427509,2.0324005878962e-05,0.000395503099678636,0,2.39515150050138e-05,0.000231655833941437,0.0302695307674883,733.97
14,"VNIR_Plant_Spectrum_X735.11",0.105345771783563,2.16320028294171e-05,0.000402995097581942,0,2.67135794691669e-05,0.000234213789888798,0.0315540249291873,735.11
14,"VNIR_Plant_Spectrum_X736.25",0.106433867023647,2.16803899128635e-05,0.000406780347342135,0,2.68083802416558e-05,0.00023869964492593,0.0312411611110262,736.25
14,"VNIR_Plant_Spectrum_X737.4",0.107506328487882,2.1600545053742e-05,0.000415002507990309,0,2.98034048081133e-05,0.00024130889609108,0.0305215153710997,737.4
14,"VNIR_Plant_Spectrum_X738.54",0.108526902995476,2.1437512744567e-05,0.000426164976235149,1.20474903755453e-06,2.89820576925499e-05,0.000246055649250008,0.0296161669620511,738.54
